subject,octave,offset,hit_rate,fa_rate,accuracy,perc_resp_low,dprime,C
21,5,0,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
21,5,15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
22,3,-15,0.6904761904761905,0.7857142857142857,0.45,0.25,-0.29443803706182053,-0.6444195892124643
22,3,0,0.5476190476190477,0.5,0.525,0.475,0.11964811303984217,-0.059824056519921086
22,3,15,0.40476190476190477,0.6904761904761905,0.35,0.45,-0.7382409645675809,-0.12808008839776358
22,5,-15,0.7380952380952381,0.8333333333333334,0.45,0.2,-0.3299374051393239,-0.8024528635320392
22,5,0,0.5476190476190477,0.7857142857142857,0.375,0.325,-0.6719904947035324,-0.45564336039160835
22,5,15,0.5476190476190477,0.7857142857142857,0.375,0.325,-0.6719904947035324,-0.45564336039160835
23,3,-15,0.7380952380952381,0.30952380952380953,0.725,0.475,1.1346847316439312,-0.07014179514041155
23,3,0,0.7857142857142857,0.40476190476190477,0.7,0.4,1.0326790016294014,-0.2752991069286739
23,3,15,0.5476190476190477,0.2619047619047619,0.65,0.6,0.757132274002219,0.2589180239612674
23,5,-15,0.7857142857142857,0.11904761904761904,0.85,0.55,1.9713997253552358,0.1940612549342433
23,5,0,0.8809523809523809,0.21428571428571427,0.85,0.45,1.9713997253552358,-0.1940612549342433
23,5,15,0.8333333333333334,0.11904761904761904,0.875,0.525,2.147182683713562,0.10616977575508008
24,3,-15,0.8333333333333334,0.07142857142857142,0.9,0.55,2.432655358787224,0.24890611329191098
24,3,0,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624
24,3,15,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624
24,5,-15,0.7857142857142857,0.023809523809523808,0.9,0.6,2.7723910043906534,0.5945568944519521
24,5,0,0.8333333333333334,0.023809523809523808,0.925,0.575,2.94817396274898,0.506665415272789
24,5,15,0.5952380952380952,0.023809523809523808,0.8,0.7,2.2217927905333057,0.869856001380626
25,3,-15,0.8809523809523809,0.11904761904761904,0.9,0.5,2.3595222352237224,-0.0
25,3,0,0.8809523809523809,0.023809523809523808,0.95,0.55,3.16051351425914,0.40049563951770883
25,3,15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
25,5,-15,0.8809523809523809,0.21428571428571427,0.85,0.45,1.9713997253552358,-0.1940612549342433
25,5,0,0.8809523809523809,0.16666666666666666,0.875,0.475,2.147182683713562,-0.10616977575508008
25,5,15,0.8809523809523809,0.11904761904761904,0.9,0.5,2.3595222352237224,-0.0
26,3,-15,0.5952380952380952,0.023809523809523808,0.8,0.7,2.2217927905333057,0.869856001380626
26,3,0,0.35714285714285715,0.16666666666666666,0.6,0.75,0.6013152093011314,0.6667639614511354
26,3,15,0.35714285714285715,0.023809523809523808,0.675,0.825,1.6146460398467093,1.1734293767239243
26,5,-15,0.5476190476190477,0.5,0.525,0.475,0.11964811303984217,-0.059824056519921086
26,5,0,0.7857142857142857,0.5,0.65,0.35,0.7916386077433746,-0.3958193038716873
26,5,15,0.6904761904761905,0.4523809523809524,0.625,0.425,0.6168486837213961,-0.188776228820856
27,3,-15,0.5952380952380952,0.21428571428571427,0.7,0.6,1.0326790016294014,0.2752991069286739
27,3,0,0.6904761904761905,0.21428571428571427,0.75,0.55,1.2888391784249287,0.14721901853091027
27,3,15,0.4523809523809524,0.16666666666666666,0.65,0.7,0.847773453061859,0.5435348395707715
27,5,-15,0.7857142857142857,0.21428571428571427,0.8,0.5,1.5832772154867492,-0.0
27,5,0,0.5952380952380952,0.30952380952380953,0.65,0.55,0.7382409645675809,0.12808008839776358
27,5,15,0.5476190476190477,0.11904761904761904,0.725,0.675,1.2994092306517033,0.5300565022860095
28,3,-15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
28,3,0,0.9285714285714286,0.35714285714285715,0.8,0.35,1.8313401494860926,-0.5495637179424767
28,3,15,0.8809523809523809,0.07142857142857142,0.925,0.525,2.644994910297384,0.1427363375368309
28,5,-15,0.9761904761904762,0.30952380952380953,0.85,0.35,2.4779529673288327,-0.7417759129828624
28,5,0,0.6428571428571429,0.11904761904761904,0.775,0.625,1.545867474412431,0.4068273804056457
28,5,15,0.7380952380952381,0.023809523809523808,0.875,0.625,2.618236557609656,0.6716341178424509
29,3,-15,0.9761904761904762,0.16666666666666666,0.925,0.425,2.94817396274898,-0.506665415272789
29,3,0,0.7857142857142857,0.023809523809523808,0.9,0.6,2.7723910043906534,0.5945568944519521
29,3,15,0.7857142857142857,0.16666666666666666,0.825,0.525,1.7590601738450755,0.08789147917916323
29,5,-15,0.9761904761904762,0.023809523809523808,1.0,0.5,3.9615047932945577,-0.0
29,5,0,0.8809523809523809,0.023809523809523808,0.95,0.55,3.16051351425914,0.40049563951770883
29,5,15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
30,3,-15,0.8809523809523809,0.16666666666666666,0.875,0.475,2.147182683713562,-0.10616977575508008
30,3,0,0.8333333333333334,0.16666666666666666,0.85,0.5,1.934843132203402,-0.0
30,3,15,0.8333333333333334,0.023809523809523808,0.925,0.575,2.94817396274898,0.506665415272789
30,5,-15,0.9761904761904762,0.07142857142857142,0.975,0.475,3.445986189332802,-0.25775930198087793
30,5,0,0.9285714285714286,0.07142857142857142,0.95,0.5,2.930467585371046,-0.0
30,5,15,0.8809523809523809,0.16666666666666666,0.875,0.475,2.147182683713562,-0.10616977575508008
31,3,-15,0.7380952380952381,0.7380952380952381,0.5,0.25,0.0,-0.6374841609623771
31,3,0,0.5476190476190477,0.5476190476190477,0.5,0.45,0.0,-0.11964811303984217
31,3,15,0.5,0.16666666666666666,0.675,0.675,0.967421566101701,0.4837107830508505
31,5,-15,0.7380952380952381,0.6428571428571429,0.55,0.3,0.27137780416180735,-0.5017952588814735
31,5,0,0.7380952380952381,0.5476190476190477,0.6,0.35,0.517836047922535,-0.37856613700110964
31,5,15,0.5,0.5,0.5,0.5,0.0,-0.0
32,3,-15,0.35714285714285715,0.2619047619047619,0.55,0.7,0.2713778041618073,0.5017952588814732
32,3,0,0.30952380952380953,0.2619047619047619,0.525,0.725,0.14028359028082288,0.5673423658219655
32,3,15,0.35714285714285715,0.30952380952380953,0.525,0.675,0.1310942138809844,0.43165346374106184
32,5,-15,0.9285714285714286,0.2619047619047619,0.85,0.4,2.1027179536479,-0.41387481586157304
32,5,0,0.7380952380952381,0.40476190476190477,0.675,0.425,0.878524554848404,-0.19822188353817516
32,5,15,0.5952380952380952,0.35714285714285715,0.625,0.525,0.6071467506865965,0.06253298145727139
33,3,-15,0.9285714285714286,0.5476190476190477,0.7,0.25,1.3455856796456809,-0.7924409528626826
33,3,0,0.5476190476190477,0.21428571428571427,0.675,0.625,0.9112867207832167,0.3359952473517662
33,3,15,0.40476190476190477,0.023809523809523808,0.7,0.8,1.739712002761252,1.1108963952666528
33,5,-15,0.8809523809523809,0.7380952380952381,0.575,0.175,0.542276956649484,-0.9086226392871192
33,5,0,0.7857142857142857,0.4523809523809524,0.675,0.375,0.9112867207832166,-0.3359952473517663
33,5,15,0.35714285714285715,0.11904761904761904,0.625,0.775,0.8136547608112916,0.7729337372062154
34,3,-15,0.30952380952380953,0.07142857142857142,0.625,0.825,0.9680332220039689,0.9812171816835386
34,3,0,0.6904761904761905,0.35714285714285715,0.675,0.475,0.8633069274821237,-0.0655471069404922
34,3,15,0.5476190476190477,0.21428571428571427,0.675,0.625,0.9112867207832167,0.3359952473517662
34,5,-15,0.7857142857142857,0.30952380952380953,0.75,0.45,1.2888391784249287,-0.14721901853091027
34,5,0,0.6904761904761905,0.40476190476190477,0.65,0.45,0.7382409645675809,-0.12808008839776358
34,5,15,0.6428571428571429,0.30952380952380953,0.675,0.525,0.8633069274821239,0.06554710694049212
35,3,-15,0.9761904761904762,0.8333333333333334,0.575,0.075,1.013330830545578,-1.47408698137449
35,3,0,0.7380952380952381,0.7857142857142857,0.475,0.225,-0.15415444678099743,-0.7145613843528759
35,3,15,0.023809523809523808,0.11904761904761904,0.45,0.95,-0.8009912790354177,1.58025675712957
35,5,-15,0.9761904761904762,0.9761904761904762,0.5,0.0,0.0,-1.9807523966472789
35,5,0,0.8333333333333334,0.7380952380952381,0.55,0.2,0.3299374051393239,-0.8024528635320392
35,5,15,0.30952380952380953,0.11904761904761904,0.6,0.8,0.6825605469303071,0.8384808441467076
36,3,-15,0.9761904761904762,0.4523809523809524,0.775,0.275,2.100400509687121,-0.9305521418037184
36,3,0,0.9285714285714286,0.11904761904761904,0.925,0.475,2.644994910297384,-0.1427363375368309
36,3,15,0.8333333333333334,0.07142857142857142,0.9,0.55,2.432655358787224,0.24890611329191098
36,5,-15,0.8333333333333334,0.35714285714285715,0.75,0.4,1.3335279229022707,-0.3006576046505657
36,5,0,0.9285714285714286,0.21428571428571427,0.875,0.425,2.2568724004288976,-0.3367975924710742
36,5,15,0.6428571428571429,0.11904761904761904,0.775,0.625,1.545867474412431,0.4068273804056457
37,3,-15,0.9285714285714286,0.8333333333333334,0.55,0.1,0.49781222658382196,-1.216327679393612
37,3,0,0.5,0.16666666666666666,0.675,0.675,0.967421566101701,0.4837107830508505
37,3,15,0.40476190476190477,0.16666666666666666,0.625,0.725,0.7263811722156742,0.604230979993864
37,5,-15,0.9761904761904762,0.7857142857142857,0.6,0.1,1.1891137889039043,-1.3861955021953267
37,5,0,0.5,0.4523809523809524,0.525,0.525,0.11964811303984203,0.059824056519921016
37,5,15,0.30952380952380953,0.11904761904761904,0.6,0.8,0.6825605469303071,0.8384808441467076
38,3,-15,0.6904761904761905,0.11904761904761904,0.8,0.6,1.6769616882934153,0.34128027346515355
38,3,0,0.7380952380952381,0.21428571428571427,0.775,0.525,1.4291227687057517,0.07707722339049872
38,3,15,0.7857142857142857,0.35714285714285715,0.725,0.425,1.1577449645439442,-0.21276612547140247
38,5,-15,0.7857142857142857,0.11904761904761904,0.85,0.55,1.9713997253552358,0.1940612549342433
38,5,0,0.7857142857142857,0.21428571428571427,0.8,0.5,1.5832772154867492,-0.0
38,5,15,0.8333333333333334,0.16666666666666666,0.85,0.5,1.934843132203402,-0.0
39,3,-15,0.9285714285714286,0.023809523809523808,0.975,0.525,3.445986189332802,0.25775930198087793
39,3,0,0.7857142857142857,0.11904761904761904,0.85,0.55,1.9713997253552358,0.1940612549342433
39,3,15,0.6904761904761905,0.07142857142857142,0.825,0.625,1.962434363367077,0.48401661100198445
39,5,-15,0.7380952380952381,0.35714285714285715,0.7,0.45,1.0035905177629467,-0.13568890208090376
39,5,0,0.8333333333333334,0.11904761904761904,0.875,0.525,2.147182683713562,0.10616977575508008
39,5,15,0.6904761904761905,0.11904761904761904,0.8,0.6,1.6769616882934153,0.34128027346515355
