subject,experimenter,version,shift_size,jnd,dprime,C_intercept,C_slope
21,OMR,1.1,1,38.6875,0.6036110494499344,-0.2581284802909324,0.01261887123337032
21,OMR,1.1,0.5,38.6875,-1.0311230382571512,-0.06953516562249028,0.006607396117939171
21,OMR,1.1,pooled,38.6875,,-0.14667357954849974,0.009234537862042046
22,JKP,1.1,1,10.125,3.560397915221542,0.4176039453168464,-0.004757877917894363
22,JKP,1.1,0.5,10.125,1.2901988230917776,0.4684699120552008,0.022426427994094677
22,JKP,1.1,pooled,10.125,,0.4562280218292446,0.015860265840928475
23,EM,1.1,1,4.1875,1.895477352881649,-0.07095937755908079,0.01967287955856881
23,EM,1.1,0.5,4.1875,0.3375862255294789,-0.20680989752063936,0.014388448791368726
23,EM,1.1,pooled,4.1875,,-0.14051532209350284,0.015234388273837569
24,EM,1.1,1,7.75,2.822654320409227,-0.2933431898418713,0.0021232682348878203
24,EM,1.1,0.5,7.75,2.622730484428248,-0.3837226826167854,0.009037949277491405
24,EM,1.1,pooled,7.75,,-0.3708192352196771,0.005689203633317207
25,JKP,1.1,1,11.375,3.934050014203851,1.591605566725539e-18,-0.00859197673269593
25,JKP,1.1,0.5,11.375,2.6086335796019045,0.16279570623229075,0.02335755567356774
25,JKP,1.1,pooled,11.375,,0.12966173653537263,0.017051657253192017
26,OMR,1.1,1,4.25,1.325030905427311,-0.003337303556452155,0.030263444584430456
26,OMR,1.1,0.5,4.25,0.3375862255294789,-0.20995844909307904,0.012457172349456992
26,OMR,1.1,pooled,4.25,,-0.12435351860009515,0.018754610608261613
27,OMR,1.1,1,13.0625,3.127386545196079,0.34996579744244294,0.003538992525169337
27,OMR,1.1,0.5,13.0625,1.3866893652511987,-0.13792093621857773,-0.004907300617697008
27,OMR,1.1,pooled,13.0625,,0.013652026027495899,-0.0014750271611438958
28,OMR,1.1,1,2.875,0.5901139256399268,0.40686104884902874,-0.0020232046807697446
28,OMR,1.1,0.5,2.875,0.9959401096535841,-0.7232018900209207,0.0006502405218822349
28,OMR,1.1,pooled,2.875,,-0.1180268121315224,-0.002102616471458543
29,OMR,1.1,1,8.8125,1.740003697851629,0.5794946173981462,-0.01945162726393312
29,OMR,1.1,0.5,8.8125,-0.12958393460411227,0.31599765485192083,-0.013003208448370537
29,OMR,1.1,pooled,8.8125,,0.39570013307886637,-0.015152812683041436
3,JKP,1.0,1,7.125,2.853277355982976,0.4603815528686882,0.012506642928854192
3,JKP,1.0,pooled,7.125,,0.4603815528686882,0.012506642928854192
30,EM,1.1,1,4.6875,1.2028722177209672,0.225924012661698,0.023215896950741763
30,EM,1.1,0.5,4.6875,0.6764176679065866,0.5602032869661747,-0.007209246517602025
30,EM,1.1,pooled,4.6875,,0.3804863075191203,0.009775737396549246
31,OMR,1.1,1,6.6875,3.0254521075756178,0.0859197673269593,0.004757877917894363
31,OMR,1.1,0.5,6.6875,1.4619602272142627,0.33091576604451506,-0.008429638186318745
31,OMR,1.1,pooled,6.6875,,0.2330848694759449,-0.0030899397420412473
32,EM,1.1,1,5.9375,1.544994509015444,0.11618901158604868,0.027356739875573955
32,EM,1.1,0.5,5.9375,0.7219224244916171,-0.15693735517649957,0.009115408863149826
32,EM,1.1,pooled,5.9375,,-0.04577594860996028,0.01627109492337718
33,JKP,1.1,1,9.875,2.679492418782198,0.018281619452555933,0.016279570623229066
33,JKP,1.1,0.5,9.875,1.1026656700630393,0.2115227967565481,0.0034145240370796848
33,JKP,1.1,pooled,9.875,,0.14744777916634816,0.008079631994537163
34,EM,1.1,1,7.625,1.5271247902624676,0.24672559593250395,-0.03177923242883005
34,EM,1.1,0.5,7.625,1.2806712589189357,-0.300285300692329,-0.011222852842174474
34,EM,1.1,pooled,7.625,,-0.053926486285284035,-0.020803742535681402
35,EM,1.1,1,7.9375,3.934050014203851,0.0,0.0
35,EM,1.1,0.5,7.9375,2.1061386242834734,0.1930866525564028,-0.014090933485017991
35,EM,1.1,pooled,7.9375,,0.15276451671215474,-0.013751896764615464
36,EM,1.1,1,3.5625,2.1075177067245225,0.22752018231010238,0.011376009115505117
36,EM,1.1,0.5,3.5625,0.743925450916525,0.28088049091687983,-0.008580715895114438
36,EM,1.1,pooled,3.5625,,0.27175718329790305,-0.0011295944085106546
37,OMR,1.1,1,10.4375,1.3232963630135028,0.021361317642656398,0.0164676173890447
37,OMR,1.1,0.5,10.4375,0.8052023657708506,-0.586809591638807,0.006011475115431145
37,OMR,1.1,pooled,10.4375,,-0.30326169533276726,0.010902116407453208
38,mw,1.1,1,9.6875,1.783166214237367,0.5561140190180092,0.006101772613342831
38,mw,1.1,0.5,9.6875,1.0421663252945599,0.5582266549075235,0.012314210341164148
38,mw,1.1,pooled,9.6875,,0.5452492253481535,0.009557717072585755
39,MW,1.1,1,16.0625,2.1665403269793426,-3.647456100203001e-18,0.005367154470424924
39,MW,1.1,0.5,16.0625,1.7228687493489758,-0.27021354510935697,0.004298024065166446
39,MW,1.1,pooled,16.0625,,-0.16076346291631727,0.004864249019790352
4,MW,1.0,1,25.8125,2.7503763561553747,0.294545385867797,-0.003078747194806344
4,MW,1.0,pooled,25.8125,,0.294545385867797,-0.003078747194806344
40,mw,1.1,1,6.9375,3.2833827046360815,-0.5652597347255646,-0.0029297159726387727
40,mw,1.1,0.5,6.9375,1.4220234788008725,-0.5986675022616307,-0.02348498245611731
40,mw,1.1,pooled,6.9375,,-0.5923426413652103,-0.016926095434750505
41,mw,1.1,1,31.375,1.9281330354275767,-0.18436373747938292,-0.003538992525169336
41,mw,1.1,0.5,31.375,0.5207629522348487,-0.8698291912265878,-0.0021849035646830713
