subject,experimenter,version,jnd,shift_size,interval,offset,hit_rate,fa_rate,accuracy,perc_resp_low,dprime,C,rt
16,mw,1.1,5.875,1.0,575,15,0.9761904761904762,0.07142857142857142,0.975,0.475,3.445986189332802,-0.25775930198087793,1.175
16,mw,1.1,5.875,0.5,425,-15,0.8809523809523809,0.40476190476190477,0.75,0.35,1.420801511497888,-0.4693603618629172,1.7
16,mw,1.1,5.875,0.5,500,0,0.8809523809523809,0.40476190476190477,0.75,0.35,1.420801511497888,-0.4693603618629172,1.575
16,mw,1.1,5.875,0.5,575,15,0.8809523809523809,0.35714285714285715,0.775,0.375,1.5458674744124308,-0.4068273804056458,1.4
17,EM,1.1,5.0625,1.0,425,-15,0.5476190476190477,0.11904761904761904,0.725,0.675,1.2994092306517033,0.5300565022860095,1.5
17,EM,1.1,5.0625,1.0,500,0,0.7857142857142857,0.07142857142857142,0.875,0.575,2.2568724004288976,0.3367975924710742,1.375
17,EM,1.1,5.0625,1.0,575,15,0.5476190476190477,0.07142857142857142,0.75,0.7,1.5848819057253651,0.6727928398228404,1.775
17,EM,1.1,5.0625,0.5,425,-15,0.6904761904761905,0.5,0.6,0.4,0.49720057068155404,-0.24860028534077702,1.95
17,EM,1.1,5.0625,0.5,500,0,0.7380952380952381,0.40476190476190477,0.675,0.425,0.878524554848404,-0.19822188353817516,2.05
17,EM,1.1,5.0625,0.5,575,15,0.5476190476190477,0.11904761904761904,0.725,0.675,1.2994092306517033,0.5300565022860095,1.7
18,EM,1.1,14.9375,1.0,425,-15,0.6904761904761905,0.21428571428571427,0.75,0.55,1.2888391784249287,0.14721901853091027,1.7
18,EM,1.1,14.9375,1.0,500,0,0.5952380952380952,0.07142857142857142,0.775,0.675,1.7062741865715498,0.6120966993997481,1.55
18,EM,1.1,14.9375,1.0,575,15,0.6428571428571429,0.07142857142857142,0.8,0.65,1.8313401494860928,0.5495637179424766,2.025
18,EM,1.1,14.9375,0.5,425,-15,0.7857142857142857,0.5476190476190477,0.625,0.325,0.6719904947035324,-0.45564336039160835,2.225
18,EM,1.1,14.9375,0.5,500,0,0.9285714285714286,0.40476190476190477,0.775,0.325,1.7062741865715498,-0.6120966993997481,2.85
18,EM,1.1,14.9375,0.5,575,15,0.7380952380952381,0.16666666666666666,0.8,0.55,1.6049057270640783,0.16496870256966195,2.4
19,OMR,1.1,41.4375,1.0,425,-15,0.40476190476190477,0.40476190476190477,0.5,0.6,0.0,0.24104039388602685,0.675
19,OMR,1.1,41.4375,1.0,500,0,0.4523809523809524,0.35714285714285715,0.55,0.6,0.2464582437607276,0.24287723492020583,0.6
19,OMR,1.1,41.4375,1.0,575,15,0.5476190476190477,0.35714285714285715,0.6,0.55,0.4857544698404118,0.12322912188036372,0.65
19,OMR,1.1,41.4375,0.5,425,-15,0.7380952380952381,0.2619047619047619,0.75,0.5,1.274968321924754,-1.1102230246251565e-16,0.625
19,OMR,1.1,41.4375,0.5,500,0,0.6904761904761905,0.4523809523809524,0.625,0.425,0.6168486837213961,-0.188776228820856,0.625
19,OMR,1.1,41.4375,0.5,575,15,0.5,0.4523809523809524,0.525,0.525,0.11964811303984203,0.059824056519921016,0.6
2,JKP,1.0,4.0,1.0,425,-15,0.8658536585365854,0.4024390243902439,0.7375,0.3625,1.3540418712768851,-0.4299819448994654,0.625
2,JKP,1.0,4.0,1.0,500,0,0.8902439024390244,0.3780487804878049,0.7625,0.3625,1.538435686693528,-0.4586084179645084,0.5625
2,JKP,1.0,4.0,1.0,575,15,0.8414634146341463,0.23170731707317074,0.8125,0.4625,1.733726328804827,-0.13362738121690165,0.6
20,OMR,1.1,20.4375,1.0,425,-15,0.6428571428571429,0.11904761904761904,0.775,0.625,1.545867474412431,0.4068273804056457,0.6
20,OMR,1.1,20.4375,1.0,500,0,0.7857142857142857,0.07142857142857142,0.875,0.575,2.2568724004288976,0.3367975924710742,0.45
20,OMR,1.1,20.4375,1.0,575,15,0.6904761904761905,0.023809523809523808,0.85,0.65,2.4779529673288327,0.7417759129828624,0.75
20,OMR,1.1,20.4375,0.5,425,-15,0.7857142857142857,0.30952380952380953,0.75,0.45,1.2888391784249287,-0.14721901853091027,0.95
20,OMR,1.1,20.4375,0.5,500,0,0.7380952380952381,0.2619047619047619,0.75,0.5,1.274968321924754,-1.1102230246251565e-16,0.675
20,OMR,1.1,20.4375,0.5,575,15,0.7380952380952381,0.023809523809523808,0.875,0.625,2.618236557609656,0.6716341178424509,0.775
21,OMR,1.1,38.6875,1.0,425,-15,0.7380952380952381,0.5476190476190477,0.6,0.35,0.517836047922535,-0.37856613700110964,1.075
21,OMR,1.1,38.6875,1.0,500,0,0.7857142857142857,0.5,0.65,0.35,0.7916386077433746,-0.3958193038716873,1.15
21,OMR,1.1,38.6875,1.0,575,15,0.5952380952380952,0.40476190476190477,0.6,0.5,0.4820807877720537,-0.0,1.4
21,OMR,1.1,38.6875,0.5,425,-15,0.35714285714285715,0.6428571428571429,0.35,0.5,-0.7322127136011394,-8.326672684688674e-17,1.175
